id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
69,Gasolina,Daddy Yankee,reggaeton,energetic,0.94,92,0.77,0.88,0.11
70,Dákiti,Bad Bunny,reggaeton,chill,0.68,88,0.81,0.69,0.22
71,Blinding Lights,ROSALÍA,electronic,euphoric,0.86,104,0.82,0.81,0.09
72,Uptown Funk,Mark Ronson,funk,groovy,0.89,104,0.82,0.84,0.16
73,Happy,Pharrell Williams,pop,joyful,0.84,160,0.87,0.80,0.12
74,Shut Up and Dance,Walk the Moon,indie pop,playful,0.86,120,0.84,0.85,0.10
75,Somebody That I Used To Know,Gotye,indie pop,melancholic,0.68,96,0.62,0.66,0.21
76,Toxic,Britney Spears,pop,energetic,0.92,97,0.85,0.88,0.07
77,Paparazzi,Lady Gaga,pop,intense,0.88,120,0.85,0.85,0.09
78,Born This Way,Lady Gaga,pop,empowering,0.82,128,0.86,0.78,0.10
79,Poker Face,Lady Gaga,pop,sultry,0.81,128,0.75,0.82,0.07
80,Bad Guy,Billie Eilish,alternative,dark,0.46,93,0.50,0.68,0.20
